Category,Name,Lat,Lon,Address,MapsURL,Status
University,Academy of Fine Arts,50.1027552,14.4245556,,"https://www.google.com/maps/search/50.1027552,14.4245556",
University,Vysoká škola finanční a správní,50.0710675,14.4528589,,"https://www.google.com/maps/search/50.0710675,14.4528589",
Student Dormitory,Koleje Podolí blok B,50.0538346,14.4276903,,"https://www.google.com/maps/search/50.0538346,14.4276903",
Student Dormitory,Koleje Podolí blok C,50.0537964,14.427155,,"https://www.google.com/maps/search/50.0537964,14.427155",
Student Dormitory,Koleje Podolí blok A,50.053873,14.4282257,,"https://www.google.com/maps/search/50.053873,14.4282257",
Student Dormitory,Koleje Podolí blok E,50.0532303,14.4277933,,"https://www.google.com/maps/search/50.0532303,14.4277933",
Student Dormitory,Koleje Podolí blok F,50.0531912,14.4272607,,"https://www.google.com/maps/search/50.0531912,14.4272607",
Student Dormitory,Koleje Podolí blok D,50.0532676,14.428331,,"https://www.google.com/maps/search/50.0532676,14.428331",
University,"Matematicko-fyzikální fakulta Univerzity Karlovy, FJFI ČVUT",50.1152444,14.4488215,,"https://www.google.com/maps/search/50.1152444,14.4488215",
Shopping Center,OC Čestlice,50.0033618,14.5745381,"Obchodní, 111, Čestlice","https://www.google.com/maps/search/50.0033618,14.5745381",
Shopping Center,Novodvorská Plaza,50.0267645,14.4329401,"Novodvorská, 1800/136, Praha","https://www.google.com/maps/search/50.0267645,14.4329401",
Student Dormitory,Koleje Strahov blok 11,50.0806706,14.3955872,,"https://www.google.com/maps/search/50.0806706,14.3955872",
Student Dormitory,Koleje Strahov blok 12,50.0802667,14.3959906,,"https://www.google.com/maps/search/50.0802667,14.3959906",
Student Dormitory,Koleje Strahov blok 4,50.0799725,14.3929365,,"https://www.google.com/maps/search/50.0799725,14.3929365",
Student Dormitory,Koleje Strahov blok 2,50.0799509,14.3914785,,"https://www.google.com/maps/search/50.0799509,14.3914785",
Student Dormitory,Koleje Strahov blok 9,50.0798647,14.3947536,,"https://www.google.com/maps/search/50.0798647,14.3947536",
Student Dormitory,Koleje Strahov blok 1,50.0799532,14.3905316,,"https://www.google.com/maps/search/50.0799532,14.3905316",
Student Dormitory,Koleje Strahov blok 8,50.079853,14.3940286,,"https://www.google.com/maps/search/50.079853,14.3940286",
Student Dormitory,Koleje Strahov blok 5,50.0811351,14.391079,,"https://www.google.com/maps/search/50.0811351,14.391079",
Student Dormitory,Koleje Strahov blok 10,50.0798762,14.39548,,"https://www.google.com/maps/search/50.0798762,14.39548",
Student Dormitory,Koleje Strahov blok 7,50.0811566,14.3925348,,"https://www.google.com/maps/search/50.0811566,14.3925348",
Student Dormitory,Koleje Strahov blok 3,50.0799611,14.3922099,"Chaloupeckého, 311/11","https://www.google.com/maps/search/50.0799611,14.3922099",
